author,pd_year,candidate_title,source_url,status,reviewer,notes
Saralabala Sarkar,2022,Sahitya-jigyasa (1958),https://archive.org/details/in.ernet.dli.2015.298279,ready,,"Verified edition in verified-2025-11-02; Mitra & Ghosh imprint logged, PD India 2022 (d.1961), URAA 2053."
Charu Chandra Bhattacharya,2022,Bigyan Prabesh Prarambha (1949),https://archive.org/details/in.ernet.dli.2015.300065,ready,,"Ready draft in verified-2025-11-02; Bangiya Bigyan Parishad imprint confirmed, PD India 2022, URAA 2044."
Charu Chandra Bhattacharya,2022,Jayanti Utsargo (1931),https://archive.org/details/in.ernet.dli.2015.291008,ready,,"Anthology summary in verified-2025-11-02; contributors pre-1960, PD India/US, Rabindra-Parichay Sabha context documented."
Rathindranath Tagore,2022,"Buddha Charit, Vol. 1 (Bengali translation, 1944)",https://archive.org/details/in.ernet.dli.2015.290212,ready,,"Ready draft in verified-2025-11-02; Visva-Bharati edition summarised, PD India 2022 (d.1961), URAA 2039."
Suryakant Tripathi 'Nirala',2022,Anamika (1948),https://archive.org/details/in.ernet.dli.2015.345935,ready,,"Drafted in verified-2025-11-02; late-Chhayavād analysis, PD India 2022 (d.1961), URAA 2043."
R. P. Sethu Pillai,2022,Vazhivazhi Valluvar (1953),https://archive.org/details/in.ernet.dli.2015.496793,ready,,"Ready in verified-2025-11-02; Tirukkural ethics mapped, PD India 2022 (d.1961), URAA 2048."
R. P. Sethu Pillai,2022,Tamil Virundhu (1946),https://archive.org/details/dli.jZY9lup2kZl6TuXGlZQdjZhd.TVA_BOK_0000545,ready,,"Ready in verified-2025-11-02; lecture collection described, PD India 2022, URAA 2041."
Nalin Vilochan Sharma,2022,Sahitya Ka Itihas-Darshan (1960),https://archive.org/details/in.ernet.dli.2015.479313,ready,,"Ready in verified-2025-11-02; historiography overview, PD India 2022 (d.1961), URAA 2055."
Nalin Vilochan Sharma,2022,Hindi Gadhya Ki Pravatiya,https://archive.org/details/in.ernet.dli.2015.482938,ready,,"Ready in verified-2025-11-02; prose taxonomy summarised, PD India 2022 (d.1961), URAA 2045."
Sripada Krishnamurty Sastry,2021,Bobbili Yuddha Natakamu (1922),https://archive.org/details/bd64e376cb94f5aef639a29c9ebcfd2175e65283,ready,,"Ready in verified-2025-11-02; Telugu historical drama captured, PD India 2021 (d.1960), US PD pre-1927."
Devendranath Tagore,Public domain,"The Autobiography of Maharshi Devendranath Tagore (translator Indira Devi, 1914)",https://archive.org/details/autobiographyofm00thakuoft,ready,,"Ready in verified-2025-11-02; translation metadata and PD (translator d.1960) noted, US PD pre-1923."
Anonymous / A. Chakravarti,2018,"Neelakesi (English translation, 1936)",https://archive.org/details/in.ernet.dli.2015.31742,ready,,"Ready in verified-2025-11-02; Jain-Saivite debate context; translator d.1957 ⇒ PD India 2018, US PD."
Kshitimohan Sen,2021,Medieval Mysticism of India (1935),https://archive.org/details/bk365,ready,,"Ready in verified-2025-11-02; comparative Bhakti/Sufi study summarised, PD India 2021 (d.1960), US PD."
Kshitimohan Sen,2021,Samskriti Sangam (1951),https://archive.org/details/in.ernet.dli.2015.483478,ready,,"Ready in verified-2025-11-02; Hindi essays on cultural synthesis summarised, PD India 2021 (d.1960), URAA 2046."
Rajshekhar Basu,2021,Chalantika: Adhunik Bangabhashar Abhidhan (1937),https://archive.org/details/Chalantika_Adhunik_Bongovashar_Obhidhan_by_Rajshekhar_Basu_1937,ready,,"Ready in verified-2025-11-02; dictionary metadata captured, PD India 2021 (d.1960), US PD 1937."
Nathuram Premi,2021,Charcha-Shatak (1926),https://archive.org/details/in.ernet.dli.2015.340999,ready,,"Ready in verified-2025-11-02; Jain catechism summary, PD India 2021 (d.1960), US PD pre-1927."
Acharya Chatursen Shastri,2021,Mandir Ki Nartaki (1939),https://archive.org/details/mandir-ki-nartaki,ready,,"Ready in verified-2025-11-02; historical novel synopsis, PD India 2021 (d.1960), US PD 1939."
"Bal Krishna Sharma ""Naveen""",2021,Ham Vishpaei Janam Ke (1946),https://archive.org/details/in.ernet.dli.2015.479527,ready,,"Ready in verified-2025-11-02; posthumous poetry selection summarised, PD India 2021 (d.1960), US PD pre-1964."
Thomas Raleigh et al.,Public domain,Report of the Indian Universities Commission 1902 (1902),https://archive.org/details/dli.ministry.20957,ready,,"Ready in verified-2025-11-02; governance/finance summary, PD worldwide."
G. L. Molesworth; F. K. Dadachanji,Public domain,Indian railway policy (1920),https://archive.org/details/indianrailwaypol00molerich,ready,,"Ready in verified-2025-11-02; policy digest summary, PD worldwide."
British Museum Department of Oriental Printed Books and Manuscripts,Public domain,Catalogue of Marathi and Gujarati printed books in the library of the British Museum (1915),https://archive.org/details/catalogueofmara00brit,ready,,"Ready in verified-2025-11-02; bibliographic scope noted, PD worldwide."
Chandradhar Barua,2022,Ranjan (1927),https://archive.org/details/in.ernet.dli.2015.452322,ready,,"Ready in verified-2025-11-02; Jonaki-era Assamese novel summarised, PD India 2022 (d.1961), US PD 1927."
Sachindranath Sengupta,2022,Pralay (1932),https://archive.org/details/in.ernet.dli.2015.354377,ready,,"Ready in verified-2025-11-01b; disaster-relief drama summarised, PD India 2022 (d.1961)."
Acharya Chatursen Shastri,2021,Vaishali ki Nagarvadhu (1948),https://archive.org/details/vaishali-ki-nagarvadhu,ready,,"Ready in verified-2025-11-02; Licchavi historical novel summarised, PD India 2021, US PD pre-1964."
Jibanananda Das,2025,Rupasi Bangla (1957),https://archive.org/details/rupasibangla,ready,,"Ready in verified-2025-11-02; posthumous lyric cycle summarised, PD India 2025."
Saadat Hasan Manto,2026,Toba Tek Singh (1955),https://archive.org/details/TobaTekSinghAndOtherStories,ready,,"Ready in verified-2025-11-02; partition satire summarised, PD India 2016 (life+60)."
Cornelia Sorabji,2015,India Calling (1934),https://archive.org/details/indiacalling035489mbp,ready,,"Ready in verified-2025-11-02; memoir summary, PD India 2015, US PD pre-1964."
Krishnalal Shridharani,2021,War Without Violence (1939),https://archive.org/details/in.ernet.dli.2015.188554,ready,,"Ready in verified-2025-11-02; satyagraha strategy summary, PD India 2021, US PD pre-1964."
James Burgess,Public domain,Guide to the Ellora Cave Temples (1926),https://archive.org/details/in.gov.ignca.5364,ready,,"Ready in verified-2025-11-02; ASI guide summarised, PD worldwide."
Alexander Cunningham,Public domain,The Stupa of Bharhut (1879),https://archive.org/details/stupaofbharhutbu00cunn,ready,,"Ready in verified-2025-11-02; Bharhut documentation summarised, PD worldwide."
James Burgess,Public domain,The Buddhist Stupas of Amaravati and Jaggayyapeta (1887),https://archive.org/details/BuddhistStupasAmaravati,ready,,"Ready in verified-2025-11-02; Amaravati/Jaggayyapeta monograph summarised, PD worldwide."
A. B. Lewis,Public domain,Block Prints from India for Textiles (1924),https://archive.org/details/blockprintsfromi01lewi,ready,,"Ready in verified-2025-11-02; Field Museum textile catalogue summarised, PD worldwide."
George Uglow Pope,Public domain,A Tamil Hand-Book (1859),https://archive.org/details/tamilhandbookorf00poperich,ready,,"Ready in verified-2025-11-02; Tamil language manual summarised, PD worldwide."
John Forbes Watson,Public domain,The Textile Manufactures and the Costumes of the People of India (1866),https://archive.org/details/textilemanufactu00watsrich,ready,,"Ready in verified-2025-11-02; India Museum textile survey summarised, PD worldwide."
Ernest Foster,Public domain,Heroes of the Indian Empire (1886),https://archive.org/details/heroesofindianem00fostrich,ready,,"Ready in verified-2025-11-02; imperial biographies summarised, PD worldwide."
Ralph T. H. Griffith,Public domain,The Hymns of the Rigveda (1896),https://archive.org/details/hymnsrigveda02grifgoog,ready,,"Ready in verified-2025-11-02; English translation summary, PD worldwide."
"Indian Museum, Calcutta",Public domain,"Catalogue of the Coins in the Indian Museum, Calcutta, Volume I (1906)",https://archive.org/details/pt1catalogueofcoins01indiuoft,ready,,"Ready in verified-2025-11-02; numismatic catalogue summarised, PD worldwide."
Ananda K. Coomaraswamy,Public domain,Rajput Painting (1916),https://archive.org/details/rajputpaintingbe01coom,ready,,"Ready in verified-2025-11-02; Rajput art study summarised, PD worldwide."
"Royal India, Pakistan and Ceylon Society",Public domain,Ajanta Frescoes: Reproductions in Colour and Monochrome (1915),https://archive.org/details/ajantafrescoes00roya,ready,,"Ready in verified-2025-11-02; Ajanta plate portfolio summarised, PD worldwide."
Edward James Rapson,Public domain,Catalogue of the Indian Coins in the British Museum: Indo-Greek and Indo-Scythian Series (1908),https://archive.org/details/in.ernet.dli.2015.533728,ready,,"Ready in verified-2025-11-02; British Museum numismatic catalogue summarised, PD worldwide."
Great Britain India Office Library,Public domain,"Catalogue of the Library of the India Office, Volume II Part 4 (1905)",https://archive.org/details/catalogueoflibravol2pt4grea,ready,,"Ready in verified-2025-11-02; catalogue summary, PD worldwide."
Joseph Barretto,Public domain,A Dictionary of the Persian and Arabic Languages (1804),https://archive.org/details/dictionaryofpers02barriala,ready,,"Ready in verified-2025-11-02; lexicographic survey summarised, PD worldwide."
Sir Raymond West; J. R. Garth,Public domain,"A Digest of Hindu Law of Inheritance, Partition and Adoption (1884)",https://archive.org/details/adigestofhindula00westuoft,ready,,"Ready in verified-2025-11-02; legal digest summarised, PD worldwide."
Daniel John Gogerly,Public domain,"Ceylon Buddhism: Being the Collected Writings of Daniel John Gogerly (1908)",https://archive.org/details/ceylonbuddhismb00gogegoog,ready,,"Ready in verified-2025-11-02; Wesleyan missionary essays compiled 1908, PD worldwide (author d.1862)."
William Cowper Prime,Public domain,"Coins, Medals, and Seals, Ancient and Modern (1861)",https://archive.org/details/coinsmedalsandse00primiala,ready,,"Ready in verified-2025-11-02; 1861 numismatic survey, PD worldwide (author d.1905)."
John Allan,2016,"Catalogue of the Coins of Ancient India (1936)",https://archive.org/details/catalogueofcoins00allauoft,ready,,"Ready in verified-2025-11-02; British Museum catalogue, PD India 2016 (author d.1955) and US (no renewal located)."
Eugen Hultzsch,Public domain,"Corpus Inscriptionum Indicarum, Volume I: Inscriptions of Asoka (1925)",https://archive.org/details/in.ernet.dli.2015.135307,ready,,"Ready in verified-2025-11-02; ASI Asokan inscriptions corpus, PD worldwide (author d.1927)."
John Faithfull Fleet,Public domain,"Corpus Inscriptionum Indicarum, Volume III: Inscriptions of the Early Gupta Kings (1888)",https://archive.org/details/in.ernet.dli.2015.108395,ready,,"Ready in verified-2025-11-02; Gupta inscriptions edition, PD worldwide (author d.1917)."
James Talboys Wheeler,Public domain,"Early Records of British India (1878)",https://archive.org/details/earlyrecordsofbr00wheerich,ready,,"Ready in verified-2025-11-02; colonial administrative history, PD worldwide (author d.1897)."
Madho Sarup Vats,2016,"Excavations at Harappa, Vol. 1 (1940)",https://archive.org/details/excavationsathar01vats,ready,,"Ready in verified-2025-11-02; ASI Harappa excavation report, PD India 2016 (author d.1955)."
Jagomandar Lal Jaini,1988,"Outlines of Jainism (1916)",https://archive.org/details/outlinesofjainis00jain,ready,,"Ready in verified-2025-11-02; Jain community primer, PD India 1988 (author d.1927)."
