file	year	pd	level	duplicate
the-thirteen-principal-upanishads-translated-from-the-sanskrit-with-an-outline-of-the-philosophy-of-the-upanishads-and-an-annotated-bibliography-robert-ernest-hume.md	1921	CERTAIN	100	yes
the-cave-temples-of-india-fergusson-james-and-burgess-james.md	1880	CERTAIN	100	yes
the-stupa-of-bharhut-a-buddhist-monument-ornamented-with-numerous-sculptures-illustrative-of-buddhist-legend-and-history-in-third-century-bc-cunningham-alexander-sir.md	1879	CERTAIN	100	yes
the-buddhist-stupas-of-amaravati-and-jaggayyapeta-burgess-james.md	1887	CERTAIN	100	yes
taxila-an-illustrated-account-of-archaeological-excavations-carried-out-at-taxila-vol-i-structural-remains-marshall-john.md	1951	UNCERTAIN	40	no
guide-to-ellora-cave-temples-burgess-james.md	1926	CERTAIN	100	yes
the-paintings-in-the-buddhist-cave-temples-of-ajanta-khandesh-india-john-griffiths.md	1896	CERTAIN	100	yes
rajput-painting-being-an-account-of-the-hindu-paintings-of-rajasthan-and-the-panjab-himalayas-from-the-sixteenth-to-the-nineteenth-century-described-in-their-relation-to-contemporary-thought-coomaraswamy-ananda-k.md	1916	CERTAIN	100	yes
tamil-studies-or-essays-on-the-history-of-the-tamil-people-language-religion-and-literature-m-srinivasa-aiyangar.md	1914	CERTAIN	100	yes
the-textile-manufactures-and-the-costumes-of-the-people-of-india-john-forbes-watson.md	1866	CERTAIN	100	yes
the-kalpa-sutra-and-nava-tatva-two-works-illustrative-of-the-jain-religion-and-philosophy-j-stevenson-translatoreditor.md	1848	CERTAIN	100	yes
early-records-of-british-india-a-history-of-the-english-settlements-in-india-james-talboys-wheeler.md	1878	CERTAIN	100	yes
the-history-of-india-from-the-earliest-period-to-the-close-of-lord-dalhousies-administration-john-clark-marshman.md	1867	CERTAIN	100	yes
shah-jahan-h-m-elliot-editor.md	1875	CERTAIN	100	yes
ceylon-buddhism-being-the-collected-writings-of-daniel-john-gogerly-daniel-john-gogerly.md	1908	CERTAIN	100	yes
the-tribes-and-castes-of-the-central-provinces-of-india-r-v-russell.md	1916	CERTAIN	100	yes
catalogue-of-the-coins-of-ancient-india-allan-john.md	1936	PROBABLE	60	no
the-history-of-the-indian-revolt-and-of-the-expeditions-to-persia-china-and-japan-1856-7-8-george-dodd.md	1859	CERTAIN	100	yes
excavations-at-harappa-vol-1-vats-madho-sarup.md	1940	PROBABLE	60	no
mohenjo-daro-and-the-indus-civilization-being-an-official-account-of-archaeological-excavations-at-mohenjo-daro-carried-out-by-the-government-of-india-between-the-years-1922-and-1927-marshall-john.md	1931	PROBABLE	60	no
catalogue-of-marathi-and-gujarati-printed-books-in-the-library-of-the-british-museum-british-museum-dept-of-oriental-printed-books-and-manuscripts-jf-blumhardt.md	1915	CERTAIN	100	yes
coins-medals-and-seals-ancient-and-modern-william-cowper-prime.md	1861	CERTAIN	100	yes
report-of-the-indian-universities-commission-1902-t-raleigh-president.md	1902	CERTAIN	100	yes
india-its-history-climate-productions-and-field-sports-j-h-stocqueler.md	1853	CERTAIN	100	yes
the-students-practical-dictionary-containing-english-words-with-english-urdu-meanings-ramanarayana-lala-publisher.md	1915	CERTAIN	100	yes
heroes-of-the-indian-empire-or-storie-of-valour-and-victory-ernest-foster.md	1886	CERTAIN	100	yes
history-of-india-a-v-williams-jackson-editor.md	1906	CERTAIN	100	yes